question_id,question_text,answer,question_title,hashtags,topics_algebra,topics_geometry,topics_trignometry,topics_arithmetic,calculator,answer_type,chart,length
problem14,Life is change. Growth is optional. Choose wisely.,14,Karen Clark,"Geometry,Arithmetic,Calculator,Grid-In,No Chart,Short",,Geometry,,Arithmetic,Calculator,Grid-In,No Chart,Short
problem15,You'll see it when you believe it.,15,Wayne Dyer,"Algebra,Trignometry,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem16,Today is the tomorrow we worried about yesterday.,16,Master Yoda,"Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short",,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short
problem17,It's easier to see the mistakes on someone else's paper.,17,Master Yoda,"No Calculator,Multiple Choice,No Chart,Short",,,,,No Calculator,Multiple Choice,No Chart,Short
problem18,Every man dies. Not every man really lives.,18,Master Yoda,"Calculator,Multiple Choice,No Chart,Short",,,,,Calculator,Multiple Choice,No Chart,Short
problem19,To lead people walk behind them.,19,Lao Tzu,"Arithmetic,Calculator,Grid-In,Chart,Long",,,,Arithmetic,Calculator,Grid-In,Chart,Long
problem20,"Having nothing, nothing can he lose.",20,William Shakespeare,"Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long",,,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long
problem21,Trouble is only opportunity in work clothes.,21,Henry J. Kaiser,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short
problem22,A rolling stone gathers no moss.,22,Publilius Syrus,"Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem23,Ideas are the beginning points of all fortunes.,23,Napoleon Hill,"Geometry,Trignometry,Calculator,Multiple Choice,Chart,Short",,Geometry,Trignometry,,Calculator,Multiple Choice,Chart,Short
problem24,Everything in life is luck.,24,Donald Trump,"Geometry,Trignometry,No Calculator,Multiple Choice,Chart,Long",,Geometry,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem25,Doing nothing is better than being busy doing nothing.,25,Lao Tzu,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem26,Trust yourself. You know more than you think you do.,26,Benjamin Spock,"Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short",,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short
problem27,"Study the past, if you would divine the future.",27,Confucius,"Algebra,Geometry,Trignometry,No Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,Trignometry,,No Calculator,Multiple Choice,No Chart,Long
problem28,"The day is already blessed, find peace within it.",28,Master Yoda,"Algebra,Calculator,Grid-In,No Chart,Short",Algebra,,,,Calculator,Grid-In,No Chart,Short
problem29,From error to error one discovers the entire truth.,29,Sigmund Freud,"Algebra,Geometry,Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,,,Calculator,Multiple Choice,No Chart,Long
problem30,Well done is better than well said.,30,Benjamin Franklin,"Algebra,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem31,"Bite off more than you can chew, then chew it.",31,Ella Williams,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem32,Work out your own salvation. Do not depend on others.,32,Buddha,"Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short",,Geometry,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Short
problem33,One today is worth two tomorrows.,33,Benjamin Franklin,"Algebra,Trignometry,No Calculator,Grid-In,No Chart,Long",Algebra,,Trignometry,,No Calculator,Grid-In,No Chart,Long
problem34,"Once you choose hope, anythings possible.",34,Christopher Reeve,"Algebra,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem35,God always takes the simplest way.,35,Albert Einstein,"Geometry,Arithmetic,No Calculator,Multiple Choice,Chart,Short",,Geometry,,Arithmetic,No Calculator,Multiple Choice,Chart,Short
problem36,One fails forward toward success.,36,Charles Kettering,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem37,From small beginnings come great things.,37,Master Yoda,"Geometry,Trignometry,No Calculator,Multiple Choice,No Chart,Short",,Geometry,Trignometry,,No Calculator,Multiple Choice,No Chart,Short
problem38,Learning is a treasure that will follow its owner everywhere,38,Chinese proverb,"Algebra,Arithmetic,No Calculator,Grid-In,Chart,Long",Algebra,,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem39,Be as you wish to seem.,39,Socrates,"Arithmetic,No Calculator,Grid-In,Chart,Long",,,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem40,The world is always in movement.,40,V. Naipaul,"Algebra,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short",Algebra,,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short
problem41,Never mistake activity for achievement.,41,John Wooden,"Geometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",,Geometry,,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem42,What worries you masters you.,42,Haddon Robinson,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem43,One faces the future with ones past.,43,Pearl Buck,"Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Long
problem44,Goals are the fuel in the furnace of achievement.,44,Brian Tracy,"Geometry,Arithmetic,Calculator,Grid-In,No Chart,Short",,Geometry,,Arithmetic,Calculator,Grid-In,No Chart,Short
problem45,Who sows virtue reaps honour.,45,Leonardo da Vinci,"Algebra,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem46,Be kind whenever possible. It is always possible.,46,Dalai Lama,"Algebra,Calculator,Grid-In,Chart,Short",Algebra,,,,Calculator,Grid-In,Chart,Short
problem47,Talk doesn't cook rice.,47,Chinese proverb,"Algebra,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem48,He is able who thinks he is able.,48,Buddha,"Algebra,Trignometry,Calculator,Grid-In,No Chart,Short",Algebra,,Trignometry,,Calculator,Grid-In,No Chart,Short
problem49,A goal without a plan is just a wish.,49,Larry Elder,"Algebra,Calculator,Grid-In,No Chart,Long",Algebra,,,,Calculator,Grid-In,No Chart,Long
problem50,"To succeed, we must first believe that we can.",50,Michael Korda,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem51,"Learn from yesterday, live for today, hope for tomorrow.",51,Albert Einstein,"Algebra,Geometry,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,,Calculator,Grid-In,No Chart,Long
problem52,A weed is no more than a flower in disguise.,52,James Lowell,"Algebra,Trignometry,No Calculator,Multiple Choice,No Chart,Short",Algebra,,Trignometry,,No Calculator,Multiple Choice,No Chart,Short
problem53,"Do, or do not. There is no try.",53,Yoda,"Calculator,Grid-In,Chart,Short",,,,,Calculator,Grid-In,Chart,Short
problem54,All serious daring starts from within.,54,Harriet Beecher Stowe,"Algebra,Calculator,Multiple Choice,Chart,Short",Algebra,,,,Calculator,Multiple Choice,Chart,Short
problem55,The best teacher is experience learned from failures.,55,Byron Pulsifer,"Geometry,Trignometry,Calculator,Grid-In,Chart,Short",,Geometry,Trignometry,,Calculator,Grid-In,Chart,Short
problem56,Think how hard physics would be if particles could think.,56,Murray Gell-Mann,"Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem57,Love is the flower you've got to let grow.,57,John Lennon,"Algebra,Geometry,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,,,Calculator,Grid-In,No Chart,Long
problem58,Don't wait. The time will never be just right.,58,Napoleon Hill,"Algebra,Trignometry,Calculator,Grid-In,Chart,Short",Algebra,,Trignometry,,Calculator,Grid-In,Chart,Short
problem59,Time is the wisest counsellor of all.,59,Pericles,"Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Short",,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Short
problem60,You give before you get.,60,Napoleon Hill,"Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long",,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long
problem61,Wisdom begins in wonder.,61,Socrates,"Geometry,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Long",,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,Chart,Long
problem62,"Without courage, wisdom bears no fruit.",62,Baltasar Gracian,"Geometry,Trignometry,Calculator,Multiple Choice,Chart,Long",,Geometry,Trignometry,,Calculator,Multiple Choice,Chart,Long
problem63,Change in all things is sweet.,63,Aristotle,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem64,What you fear is that which requires action to overcome.,64,Byron Pulsifer,"Algebra,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",Algebra,,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem65,"When performance exceeds ambition, the overlap is called success.",65,Cullen Hightower,"Algebra,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",Algebra,,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem66,"When deeds speak, words are nothing.",66,African proverb,"Algebra,Trignometry,No Calculator,Grid-In,No Chart,Long",Algebra,,Trignometry,,No Calculator,Grid-In,No Chart,Long
problem67,Real magic in relationships means an absence of judgement of others.,67,Wayne Dyer,"Algebra,No Calculator,Multiple Choice,Chart,Long",Algebra,,,,No Calculator,Multiple Choice,Chart,Long
problem68,I never think of the future. It comes soon enough.,68,Albert Einstein,"Arithmetic,Calculator,Grid-In,Chart,Long",,,,Arithmetic,Calculator,Grid-In,Chart,Long
problem69,Skill to do comes of doing.,69,Ralph Emerson,"Trignometry,No Calculator,Multiple Choice,Chart,Long",,,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem70,Wisdom is the supreme part of happiness.,70,Sophocles,"Arithmetic,Calculator,Grid-In,No Chart,Long",,,,Arithmetic,Calculator,Grid-In,No Chart,Long
problem71,I believe that every person is born with talent.,71,Maya Angelou,"Algebra,Geometry,Trignometry,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,Trignometry,,No Calculator,Grid-In,Chart,Short
problem72,"Important principles may, and must, be inflexible.",72,Abraham Lincoln,"Algebra,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem73,The undertaking of a new action brings new strength.,73,Richard Evans,"Algebra,Arithmetic,Calculator,Grid-In,Chart,Short",Algebra,,,Arithmetic,Calculator,Grid-In,Chart,Short
problem74,The years teach much which the days never know.,74,Ralph Emerson,"Trignometry,No Calculator,Multiple Choice,No Chart,Short",,,Trignometry,,No Calculator,Multiple Choice,No Chart,Short
problem75,Our distrust is very expensive.,75,Ralph Emerson,"Geometry,Trignometry,Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,,Calculator,Grid-In,No Chart,Long
problem76,All know the way; few actually walk it.,76,Bodhidharma,"Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short",,,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short
problem77,Great talent finds happiness in execution.,77,Johann Wolfgang von Goethe,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem78,Faith in oneself is the best and safest course.,78,Michelangelo,"Geometry,Arithmetic,Calculator,Grid-In,Chart,Short",,Geometry,,Arithmetic,Calculator,Grid-In,Chart,Short
problem79,Courage is going from failure to failure without losing enthusiasm.,79,Winston Churchill,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Short
problem80,The two most powerful warriors are patience and time.,80,Leo Tolstoy,"Algebra,Calculator,Grid-In,Chart,Long",Algebra,,,,Calculator,Grid-In,Chart,Long
problem81,Anticipate the difficult by managing the easy.,81,Lao Tzu,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Short
problem82,Those who are free of resentful thoughts surely find peace.,82,Buddha,"No Calculator,Grid-In,Chart,Long",,,,,No Calculator,Grid-In,Chart,Long
problem83,A short saying often contains much wisdom.,83,Sophocles,"Algebra,Geometry,Calculator,Grid-In,Chart,Short",Algebra,Geometry,,,Calculator,Grid-In,Chart,Short
problem84,It takes both sunshine and rain to make a rainbow.,84,Master Yoda,"Geometry,Arithmetic,No Calculator,Grid-In,Chart,Long",,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Long
problem85,A beautiful thing is never perfect.,85,Master Yoda,"Algebra,Trignometry,No Calculator,Multiple Choice,No Chart,Short",Algebra,,Trignometry,,No Calculator,Multiple Choice,No Chart,Short
problem86,Only do what your heart tells you.,86,Princess Diana,"Geometry,Arithmetic,Calculator,Grid-In,No Chart,Long",,Geometry,,Arithmetic,Calculator,Grid-In,No Chart,Long
problem87,"Life is movement-we breathe, we eat, we walk, we move!",87,John Pierrakos,"Algebra,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem88,No one can make you feel inferior without your consent.,88,Eleanor Roosevelt,"Algebra,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem89,"Argue for your limitations, and sure enough theyre yours.",89,Richard Bach,"Algebra,Geometry,Calculator,Multiple Choice,Chart,Short",Algebra,Geometry,,,Calculator,Multiple Choice,Chart,Short
problem90,Luck is what happens when preparation meets opportunity.,90,Seneca,"Algebra,Trignometry,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem91,Victory belongs to the most persevering.,91,Napoleon Bonaparte,"Algebra,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",Algebra,,,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem92,"Love all, trust a few, do wrong to none.",92,William Shakespeare,"Algebra,Arithmetic,Calculator,Multiple Choice,No Chart,Long",Algebra,,,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem93,"In order to win, you must expect to win.",93,Richard Bach,"Geometry,Trignometry,Calculator,Multiple Choice,No Chart,Short",,Geometry,Trignometry,,Calculator,Multiple Choice,No Chart,Short
problem94,A goal is a dream with a deadline.,94,Napoleon Hill,"Algebra,No Calculator,Grid-In,Chart,Short",Algebra,,,,No Calculator,Grid-In,Chart,Short
problem95,You can do it if you believe you can!,95,Napoleon Hill,"Algebra,Trignometry,No Calculator,Grid-In,Chart,Short",Algebra,,Trignometry,,No Calculator,Grid-In,Chart,Short
problem96,"Set your goals high, and don't stop till you get there.",96,Bo Jackson,"Arithmetic,Calculator,Multiple Choice,No Chart,Long",,,,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem97,Every new day is another chance to change your life.,97,Master Yoda,"Algebra,Trignometry,Calculator,Multiple Choice,No Chart,Short",Algebra,,Trignometry,,Calculator,Multiple Choice,No Chart,Short
problem98,"Smile, breathe, and go slowly.",98,Thich Nhat Hanh,"Algebra,Geometry,Arithmetic,Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Multiple Choice,Chart,Long
problem99,Nobody will believe in you unless you believe in yourself.,99,Liberace,"Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem100,Do more than dream: work.,100,William Arthur Ward,"Geometry,No Calculator,Multiple Choice,No Chart,Long",,Geometry,,,No Calculator,Multiple Choice,No Chart,Long
problem101,No man was ever wise by chance.,101,Seneca,"Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long",,,Trignometry,Arithmetic,Calculator,Multiple Choice,No Chart,Long
problem102,"Some pursue happiness, others create it.",102,Master Yoda,"Trignometry,No Calculator,Multiple Choice,Chart,Long",,,Trignometry,,No Calculator,Multiple Choice,Chart,Long
problem103,He that is giddy thinks the world turns round.,103,William Shakespeare,"Geometry,No Calculator,Grid-In,Chart,Long",,Geometry,,,No Calculator,Grid-In,Chart,Long
problem104,Don't ruin the present with the ruined past.,104,Ellen Gilchrist,"Algebra,Geometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem105,"Do something wonderful, people may imitate it.",105,Albert Schweitzer,"Algebra,No Calculator,Multiple Choice,No Chart,Long",Algebra,,,,No Calculator,Multiple Choice,No Chart,Long
problem106,We do what we do because we believe.,106,Master Yoda,"Algebra,Geometry,Trignometry,Calculator,Grid-In,Chart,Long",Algebra,Geometry,Trignometry,,Calculator,Grid-In,Chart,Long
problem107,Do one thing every day that scares you.,107,Eleanor Roosevelt,"Algebra,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem108,If you cannot be silent be brilliant and thoughtful.,108,Byron Pulsifer,"Geometry,Calculator,Multiple Choice,Chart,Short",,Geometry,,,Calculator,Multiple Choice,Chart,Short
problem109,"Who looks outside, dreams; who looks inside, awakes.",109,Carl Jung,"Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",,,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem110,"What we think, we become.",110,Buddha,"No Calculator,Multiple Choice,Chart,Short",,,,,No Calculator,Multiple Choice,Chart,Short
problem111,The shortest answer is doing.,111,Lord Herbert,"No Calculator,Grid-In,No Chart,Long",,,,,No Calculator,Grid-In,No Chart,Long
problem112,All our knowledge has its origins in our perceptions.,112,Leonardo da Vinci,"No Calculator,Grid-In,No Chart,Short",,,,,No Calculator,Grid-In,No Chart,Short
problem113,"The harder you fall, the higher you bounce.",113,Master Yoda,"Algebra,Geometry,Arithmetic,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,,Arithmetic,No Calculator,Grid-In,Chart,Short
problem114,Trusting our intuition often saves us from disaster.,114,Anne Wilson Schaef,"Algebra,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long",Algebra,,Trignometry,Arithmetic,No Calculator,Multiple Choice,Chart,Long
problem115,Truth is powerful and it prevails.,115,Sojourner Truth,"Algebra,Trignometry,Calculator,Grid-In,Chart,Short",Algebra,,Trignometry,,Calculator,Grid-In,Chart,Short
problem116,Light tomorrow with today!,116,Elizabeth Browning,"Algebra,Trignometry,Calculator,Grid-In,Chart,Short",Algebra,,Trignometry,,Calculator,Grid-In,Chart,Short
problem117,Silence is a fence around wisdom.,117,German proverb,"Algebra,Geometry,No Calculator,Multiple Choice,No Chart,Long",Algebra,Geometry,,,No Calculator,Multiple Choice,No Chart,Long
problem118,"Society develops wit, but its contemplation alone forms genius.",118,Madame de Stael,"Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short",,Geometry,Trignometry,Arithmetic,Calculator,Grid-In,No Chart,Short
problem119,The simplest things are often the truest.,119,Richard Bach,"No Calculator,Multiple Choice,No Chart,Short",,,,,No Calculator,Multiple Choice,No Chart,Short
problem120,Everyone smiles in the same language.,120,Master Yoda,"Algebra,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short",Algebra,,Trignometry,Arithmetic,Calculator,Multiple Choice,Chart,Short
problem121,Yesterday I dared to struggle. Today I dare to win.,121,Bernadette Devlin,"Geometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long",,Geometry,,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem122,No alibi will save you from accepting the responsibility.,122,Napoleon Hill,"Algebra,Calculator,Multiple Choice,Chart,Long",Algebra,,,,Calculator,Multiple Choice,Chart,Long
problem123,"If you can dream it, you can do it.",123,Walt Disney,"Trignometry,No Calculator,Multiple Choice,Chart,Short",,,Trignometry,,No Calculator,Multiple Choice,Chart,Short
problem124,It is better to travel well than to arrive.,124,Buddha,"Geometry,Arithmetic,Calculator,Grid-In,Chart,Long",,Geometry,,Arithmetic,Calculator,Grid-In,Chart,Long
problem125,Life shrinks or expands in proportion to one's courage.,125,Anais Nin,"Algebra,Geometry,Trignometry,Calculator,Grid-In,Chart,Short",Algebra,Geometry,Trignometry,,Calculator,Grid-In,Chart,Short
problem126,You have to believe in yourself.,126,Sun Tzu,"Algebra,Calculator,Multiple Choice,No Chart,Long",Algebra,,,,Calculator,Multiple Choice,No Chart,Long
problem127,Our intention creates our reality.,127,Wayne Dyer,"Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long",,,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem128,Silence is a true friend who never betrays.,128,Confucius,"Calculator,Grid-In,No Chart,Long",,,,,Calculator,Grid-In,No Chart,Long
problem129,Character develops itself in the stream of life.,129,Johann Wolfgang von Goethe,"Algebra,Geometry,Arithmetic,Calculator,Grid-In,Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Grid-In,Chart,Long
problem130,From little acorns mighty oaks do grow.,130,American proverb,"Geometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long",,Geometry,,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem131,"You can't stop the waves, but you can learn to surf.",131,Jon Kabat-Zinn,"Algebra,Geometry,Arithmetic,Calculator,Grid-In,Chart,Short",Algebra,Geometry,,Arithmetic,Calculator,Grid-In,Chart,Short
problem132,"Reality does not conform to the ideal, but confirms it.",132,Gustave Flaubert,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Short
problem133,"Speak low, if you speak love.",133,William Shakespeare,"Geometry,No Calculator,Grid-In,No Chart,Short",,Geometry,,,No Calculator,Grid-In,No Chart,Short
problem134,A really great talent finds its happiness in execution.,134,Johann Wolfgang von Goethe,"Algebra,Geometry,Arithmetic,Calculator,Grid-In,Chart,Long",Algebra,Geometry,,Arithmetic,Calculator,Grid-In,Chart,Long
problem135,Reality leaves a lot to the imagination.,135,John Lennon,"Algebra,Geometry,Trignometry,Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,,Calculator,Grid-In,No Chart,Long
problem136,The greatest remedy for anger is delay.,136,Seneca,"Geometry,No Calculator,Grid-In,No Chart,Short",,Geometry,,,No Calculator,Grid-In,No Chart,Short
problem137,Growth itself contains the germ of happiness.,137,Pearl Buck,"Algebra,Geometry,Trignometry,No Calculator,Grid-In,No Chart,Short",Algebra,Geometry,Trignometry,,No Calculator,Grid-In,No Chart,Short
problem138,You can do what's reasonable or you can decide what's possible.,138,Master Yoda,"Algebra,Geometry,Trignometry,No Calculator,Grid-In,Chart,Short",Algebra,Geometry,Trignometry,,No Calculator,Grid-In,Chart,Short
problem139,Nothing strengthens authority so much as silence.,139,Leonardo da Vinci,"Geometry,Calculator,Grid-In,No Chart,Short",,Geometry,,,Calculator,Grid-In,No Chart,Short
problem140,"Wherever you go, go with all your heart.",140,Confucius,"Algebra,No Calculator,Multiple Choice,Chart,Long",Algebra,,,,No Calculator,Multiple Choice,Chart,Long
problem141,The only real valuable thing is intuition.,141,Albert Einstein,"Arithmetic,Calculator,Multiple Choice,No Chart,Short",,,,Arithmetic,Calculator,Multiple Choice,No Chart,Short
problem142,Good luck is another name for tenacity of purpose.,142,Ralph Emerson,"Geometry,No Calculator,Multiple Choice,Chart,Long",,Geometry,,,No Calculator,Multiple Choice,Chart,Long
problem143,Rainbows apologize for angry skies.,143,Sylvia Voirol,"Algebra,Arithmetic,Calculator,Grid-In,Chart,Short",Algebra,,,Arithmetic,Calculator,Grid-In,Chart,Short
problem144,Friendship isn't a big thing. It's a million little things.,144,Master Yoda,"Algebra,Geometry,Calculator,Multiple Choice,Chart,Long",Algebra,Geometry,,,Calculator,Multiple Choice,Chart,Long
